name,method,Coverage (expected 90.0%),Avg. Length,seed
bike,CQR Net,86.51685393258427,2.704623753120163,1
bike,CQR Net,86.51685393258427,2.704623753120163,1
bio,CQR Net,89.7878854143888,1.368100348060876,1
bio,CQR Net,89.8316203804942,1.3630896526705103,1
generated,CQR Net,93.0,4.282728342174474,1
generated,CQR Net,91.0,3.695954214158038,1
generated,CQR Net,91.0,3.695954214158038,1
bimodal,CQR Net,93.0,2.1460643605223098,1
bimodal,CQR Net,93.0,2.1460643605223098,1
concrete,CQR Net,89.32038834951457,0.4702145675870506,1
concrete,CQR Net,89.32038834951457,0.4702145675870506,1
concrete,CQR Net,89.32038834951457,0.4702145675870506,1
concrete,CQR Net,89.32038834951457,0.4702145675870506,1
concrete,CQR Net,89.32038834951457,0.4702145675870506,1
bio,CQR Net,89.75508418980975,1.3634527117893114,1
concrete,CQR Net,89.32038834951457,0.4702145675870506,1
concrete,CQR Net,91.2621359223301,0.4840212572264255,1
concrete,CQR Net,91.2621359223301,0.4840212572264255,1
concrete,CQR Net,87.86407766990291,0.46232946159763316,1
